****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.02     15.00     45.00     66.00     25.00      5.00     20.70    207.00      2.00      0.26     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
         1     1.020     0.015     0.000     0.000    -1.999     0.000     1.020  1026.912 98033.309    34.924    10.013     0.020     1.000
         2     1.041     0.015     0.000     0.001    -1.999     0.001     1.041  1026.852 96105.410    34.849    10.026     0.020     1.000
         3     1.061     0.016     0.001     0.001    -1.998     0.001     1.061  1026.792 94215.534    34.775    10.038     0.020     1.000
         4     1.083     0.016     0.001     0.002    -1.998     0.001     1.083  1026.734 92362.927    34.703    10.051     0.020     1.000
         5     1.104     0.016     0.001     0.002    -1.997     0.002     1.104  1026.677 90546.849    34.632    10.063     0.020     1.000
         6     1.127     0.017     0.001     0.003    -1.997     0.002     1.127  1026.621 88766.577    34.563    10.075     0.020     1.000
